environment,twin_gap,regime,seed,baseline,acc_task_reward,acc_energy_cost,acc_switch_cost,acc_failure_cost,terminal_cost,total_cost,net_reward,mean_abs_action,frac_zero_action,action_changes,physical_transitions,observed_transitions,observation_interval
scalar,gap,static,2,kh_dual_control,-11.913938306858416,0.3959999999999999,0.0,0.0,0.29499309062463563,12.604931397483057,-12.604931397483057,0.13199999999999995,0.78,18.0,50,50,1
scalar,gap,static,2,arcari_dual_smpc,-33.26648497256342,0.10799999999999998,0.0,0.0,0.0650926762025814,33.439577648766004,-33.439577648766004,0.036,0.94,6.0,50,50,1
scalar,gap,static,2,tv_gp_lcb,-104888.07979321099,32.328,0.0,0.0,6284.546658883252,111204.95445209423,-111204.95445209423,2.352,0.06,40.0,50,50,1
scalar,gap,piecewise,0,kh_dual_control,-7.187544887320279,0.2879999999999999,0.0,0.0,0.47281203765758895,7.948356924977868,-7.948356924977868,0.09599999999999997,0.84,15.0,50,50,1
scalar,gap,piecewise,0,arcari_dual_smpc,-16.69561431844214,0.2879999999999999,0.0,0.0,0.47281203765758895,17.45642635609973,-17.45642635609973,0.09599999999999997,0.84,13.0,50,50,1
scalar,gap,piecewise,0,tv_gp_lcb,-95182.48763168721,31.067999999999998,0.0,0.0,6840.549296257246,102054.10492794444,-102054.10492794444,2.268,0.08,41.0,50,50,1
scalar,gap,piecewise,1,kh_dual_control,-12.060851331048884,0.5399999999999998,0.0,0.0,0.05310466360131516,12.653955994650198,-12.653955994650198,0.17999999999999997,0.7,19.0,50,50,1
scalar,gap,piecewise,1,arcari_dual_smpc,-14.626457251691331,0.4319999999999999,0.0,0.0,0.009691317880472889,15.068148569571806,-15.068148569571806,0.14399999999999996,0.76,20.0,50,50,1
scalar,gap,piecewise,1,tv_gp_lcb,-16398.782692974073,26.496000000000002,0.0,0.0,150.93487415570647,16576.213567129784,-16576.213567129784,1.992,0.14,45.0,50,50,1
scalar,gap,piecewise,2,kh_dual_control,-10.507148250838991,0.3239999999999999,0.0,0.0,0.016606790306504682,10.847755041145497,-10.847755041145497,0.10799999999999997,0.82,15.0,50,50,1
scalar,gap,piecewise,2,arcari_dual_smpc,-36.86216609989765,0.43199999999999994,0.0,0.0,0.06805176702972945,37.36221786692738,-37.36221786692738,0.144,0.76,15.0,50,50,1
scalar,gap,piecewise,2,tv_gp_lcb,-43761.56781885,33.30000000000001,0.0,0.0,1915.5619016217956,45710.429720471795,-45710.429720471795,2.412,0.04,37.0,50,50,1
scalar,gap,drifting,0,kh_dual_control,-9.690885321334136,0.3959999999999999,0.0,0.0,0.31567894438315525,10.402564265717292,-10.402564265717292,0.132,0.78,19.0,50,50,1
scalar,gap,drifting,0,arcari_dual_smpc,-13.341406716364391,0.32399999999999995,0.0,0.0,0.6115649159657062,14.276971632330099,-14.276971632330099,0.10799999999999998,0.82,16.0,50,50,1
scalar,gap,drifting,0,tv_gp_lcb,-19474.348918577347,28.008,0.0,0.0,2476.1411532193265,21978.498071796672,-21978.498071796672,2.112,0.06,43.0,50,50,1
scalar,gap,drifting,1,kh_dual_control,-12.687152912117533,0.4319999999999999,0.0,0.0,0.00010736371142832262,13.119260275828962,-13.119260275828962,0.14399999999999996,0.76,21.0,50,50,1
scalar,gap,drifting,1,arcari_dual_smpc,-13.259105465124431,0.21599999999999991,0.0,0.0,0.13229393976860154,13.607399404893034,-13.607399404893034,0.07199999999999998,0.88,11.0,50,50,1
scalar,gap,drifting,1,tv_gp_lcb,-3049.7069670980795,26.100000000000005,0.0,0.0,43.3768974632804,3119.18386456136,-3119.18386456136,1.9560000000000002,0.14,43.0,50,50,1
scalar,gap,drifting,2,kh_dual_control,-12.140599216976726,0.4679999999999999,0.0,0.0,0.12363259523743139,12.732231812214158,-12.732231812214158,0.15599999999999997,0.74,20.0,50,50,1
scalar,gap,drifting,2,arcari_dual_smpc,-13.943866805810735,0.4679999999999999,0.0,0.0,0.11967633028469553,14.53154313609543,-14.53154313609543,0.15599999999999997,0.74,18.0,50,50,1
scalar,gap,drifting,2,tv_gp_lcb,-92967.08057839215,31.212000000000007,0.0,0.0,4742.179370768703,97740.47194916087,-97740.47194916087,2.292,0.04,40.0,50,50,1
