u0,ce_cost,cautious_cost,bayes_dual_cost
2.04,19.274,102.93033336049001,59.94776501224834
2.0699999999999994,19.672249999999995,105.76820836759042,61.58281130076056
2.0999999999999996,20.075,108.64583338520853,63.24079020741793
2.13,20.48225,111.56320845153802,64.92170143174481
2.16,20.894000000000005,114.52033357095489,66.62554469278112
2.1899999999999995,21.310249999999996,117.517208743607,68.35231972756873
2.2199999999999998,21.730999999999998,120.55383396949856,70.10202628977376
2.25,22.156250000000007,123.63020924863355,71.87466414843068
2.2799999999999994,22.585999999999995,126.74633458101559,73.67023308679613
2.3099999999999996,23.020249999999997,129.9022099666484,75.4887329013019
2.34,23.459000000000003,133.09783540553533,77.33016340059658
2.37,23.902250000000006,136.3332108976796,79.19452440466846
2.3999999999999995,24.349999999999998,139.60833644308408,81.08181574404094
2.4299999999999997,24.802249999999997,142.92321204175187,82.99203725903452
2.46,25.259000000000004,146.27783795250429,84.92518879908813
2.49,25.720250000000007,149.67221512565985,86.88127022213527
2.5199999999999996,26.185999999999996,153.1063436594335,88.8602813940297
2.55,26.656250000000007,156.58022358221146,90.86222218801596
2.58,27.131000000000004,160.09385489572472,92.88709248424104
2.6099999999999994,27.610249999999994,163.64723760003884,94.93489216930328
2.6399999999999997,28.093999999999994,167.24037169521645,97.00562113583617
2.67,28.582250000000002,170.8732571813174,99.09927928212211
2.7,29.07500000000001,174.5458940583989,101.21586651173612
2.7299999999999995,29.572250000000004,178.25828232651517,103.3553827332148
2.76,30.074,182.01042198571884,105.51782785974972
2.79,30.580250000000014,185.80231303605973,107.70320180890282
2.8199999999999994,31.090999999999998,189.63395547758574,109.91150450234167
2.8499999999999996,31.60625,193.50534931034292,112.14273586559409
2.88,32.126000000000005,197.41649453437503,114.39689582781871
2.91,32.650250000000064,201.3673911497244,116.67398432159288
2.9399999999999995,33.17900000000014,205.35804196451045,118.97666293528694
2.9699999999999998,33.71225000000028,209.388458208522,121.31171934927498
3.0,34.250000000000455,213.45864105257093,123.67995821097705
