environment,seed,baseline,calibration,planner,t,state,previous_action,action,next_state,calibration_output,true_theta,predicted_reward,realized_reward,task_reward,energy_cost,switching_cost,failure_cost,net_reward,cumulative_task_reward,cumulative_energy_cost,cumulative_switching_cost,cumulative_failure_cost,cumulative_net_reward,planner_queries_step,planner_queries_total,cold_start_transitions,time,theta_mean,theta_var,ess,num_particles,weights_sum,expert_masses,expert_start_times,expert_mass_sum,anchor_start_time,restart_event,recent_change_probability,num_experts,inner_weight_sums,oracle_kind
Toy1,5,ce_bbrpc,BOCPD-BRPC,CE,5,0.7210405271994369,-0.06692419887308677,-0.012691874594869403,0.7412074838424438,0.7412074838424438,0.9409090909090909,nan,-0.520495725047402,-0.5198994418640419,8.054184036594569e-06,0.000588228999323545,0.0,-0.520495725047402,-2.4873222701401265,0.016234420224486013,0.08000377849828608,0.0,-2.5835604688628986,256,1536,4,,,,,,,"[0.8124116469656814, 0.09704627213218704, 0.050844012082343806, 0.03969806881978788]","[0, 1, 2, 5]",1.0,0.0,0.0,0.03969806881978788,4.0,"[1.0000000000000002, 0.9999999999999999, 0.9999999999999998, 1.0]",
Toy1,5,ce_bbrpc,BOCPD-BRPC,CE,6,0.7412074838424438,-0.012691874594869403,-0.017512319241292706,0.7690497732799134,0.7690497732799134,0.9590909090909091,nan,-9.728974395917996e-05,-7.73083403808862e-05,1.5334066260447537e-05,4.647337317846219e-06,0.0,-9.728974395917996e-05,-2.4873995784805074,0.01624975429074646,0.08000842583560393,0.0,-2.583657758606858,256,1792,4,,,,,,,"[0.806444238594617, 0.09966465211748168, 0.05031533291859276, 0.0435757763693087]","[0, 1, 2, 6]",1.0000000000000002,0.0,0.0,0.0435757763693087,4.0,"[1.0, 1.0, 1.0, 1.0]",
Toy1,5,ce_bbrpc,BOCPD-BRPC,CE,7,0.7690497732799134,-0.017512319241292706,-0.056228640344473405,0.8021880333127986,0.8021880333127986,0.9772727272727273,nan,-0.0008207675657184294,-0.00036289386201610323,0.00015808299974940713,0.00029979070395291904,0.0,-0.0008207675657184294,-2.4877624723425233,0.01640783729049587,0.08030821653955685,0.0,-2.5844785261725765,256,2048,4,,,,,,,"[0.7769832799583263, 0.11209744413197592, 0.05763115099443031, 0.05328812491526756]","[0, 1, 7, 2]",1.0,0.0,0.0,0.05763115099443031,4.0,"[1.0, 1.0, 1.0, 0.9999999999999999]",
Toy1,5,ce_bbrpc,BOCPD-BRPC,CE,8,0.8021880333127986,-0.056228640344473405,-0.09214735691938339,0.8033522583343513,0.8033522583343513,0.9954545454545455,nan,-0.003406178430496935,-0.002723590821057781,0.00042455676936141174,0.00025803084007774263,0.0,-0.003406178430496935,-2.4904860631635812,0.01683239405985728,0.08056624737963458,0.0,-2.5878847046030735,256,2304,4,,,,,,,"[0.7681931402527609, 0.12645136724245248, 0.0624186090236495, 0.04293688348113715]","[0, 1, 7, 8]",1.0,0.0,0.0,0.04293688348113715,4.0,"[1.0, 1.0, 0.9999999999999999, 0.9999999999999998]",
Toy1,5,ce_bbrpc,BOCPD-BRPC,CE,9,0.8033522583343513,-0.09214735691938339,-0.06837936980902617,0.8135600863145419,0.8135600863145419,1.0136363636363637,nan,-0.0031932338224049586,-0.002846463469375359,0.00023378691077397803,0.00011298344225562132,0.0,-0.0031932338224049586,-2.4933325266329565,0.017066180970631256,0.0806792308218902,0.0,-2.5910779384254785,256,2560,4,,,,,,,"[0.7563233632412045, 0.1341867269207809, 0.06362208767519553, 0.04586782216281893]","[0, 1, 7, 9]",0.9999999999999999,0.0,0.0,0.04586782216281893,4.0,"[1.0000000000000002, 0.9999999999999998, 1.0000000000000002, 0.9999999999999999]",
Toy1,5,ce_bbrpc,BOCPD-BRPC,CE,10,0.8135600863145419,-0.06837936980902617,-0.10978622805607242,0.8126594511162686,0.8126594511162686,1.0318181818181817,nan,-0.004985440947829212,-0.004039884572312018,0.0006026507935389972,0.00034290558197819644,0.0,-0.004985440947829212,-2.4973724112052684,0.017668831764170254,0.08102213640386839,0.0,-2.596063379373308,256,2816,4,,,,,,,"[0.7488268233636943, 0.1174852310446584, 0.07013760929931642, 0.0635503362923307]","[0, 1, 7, 10]",0.9999999999999998,0.0,0.0,0.0635503362923307,4.0,"[1.0, 1.0, 1.0, 0.9999999999999998]",
Toy1,5,ce_bbrpc,BOCPD-BRPC,CE,11,0.8126594511162686,-0.10978622805607242,-0.11224127675229796,0.7714917911210876,0.7714917911210876,1.05,nan,-0.004557317477361517,-0.003926206814192052,0.0006299052103492972,1.2054528201677418e-06,0.0,-0.004557317477361517,-2.5012986180194603,0.01829873697451955,0.08102334185668857,0.0,-2.6006206968506693,256,3072,4,,,,,,,"[0.7697759611542878, 0.12861782890477857, 0.06893591160675958, 0.03267029833417414]","[0, 1, 7, 11]",1.0000000000000002,0.0,0.0,0.03267029833417414,4.0,"[0.9999999999999998, 1.0, 1.0, 1.0]",
Toy1,5,ps_bbrpc,BOCPD-BRPC,PS,0,0.0,0.0,0.5143773795376323,0.4739022664974108,0.4739022664974108,0.85,nan,-0.06614602214500036,-0.0,0.013229204429000071,0.05291681771600029,0.0,-0.06614602214500036,0.0,0.013229204429000071,0.05291681771600029,0.0,-0.06614602214500036,256,256,4,,,,,,,[1.0],[0],1.0,0.0,0.0,1.0,1.0,[1.0],
Toy1,5,ps_bbrpc,BOCPD-BRPC,PS,1,0.4739022664974108,0.5143773795376323,0.31023160413331147,0.8222749059375377,0.8222749059375377,0.8681818181818182,nan,-0.23773064012462564,-0.22458335819138298,0.0048121824101563845,0.008335099523086281,0.0,-0.23773064012462564,-0.22458335819138298,0.018041386839156456,0.06125191723908657,0.0,-0.303876662269626,256,512,4,,,,,,,"[0.8851950545757341, 0.11480494542426596]","[0, 1]",1.0,0.0,0.0,0.11480494542426596,2.0,"[1.0000000000000002, 0.9999999999999998]",
Toy1,5,ps_bbrpc,BOCPD-BRPC,PS,2,0.8222749059375377,0.31023160413331147,7.895966442706369e-05,0.8312996348842575,0.8312996348842575,0.8863636363636364,nan,-0.6953749538205263,-0.6761360209345865,3.1173143032172536e-10,0.019238932574208445,0.0,-0.6953749538205263,-0.9007193791259694,0.018041387150887885,0.08049084981329502,0.0,-0.9992516160901523,256,768,4,,,,,,,"[0.8461238217878421, 0.08151439886722665, 0.07236177934493135]","[0, 1, 2]",1.0,0.0,0.0,0.07236177934493135,3.0,"[1.0, 1.0, 0.9999999999999999]",
Toy1,5,ps_bbrpc,BOCPD-BRPC,PS,3,0.8312996348842575,7.895966442706369e-05,-0.06108948960117573,0.8070505439923673,0.8070505439923673,0.9045454545454545,nan,-0.6919939950827982,-0.6910590829586999,0.0001865962869866079,0.0007483158371117247,0.0,-0.6919939950827982,-1.5917784620846693,0.018227983437874493,0.08123916565040674,0.0,-1.6912456111729506,256,1024,4,,,,,,,"[0.8263791309740995, 0.07175964822233956, 0.05676909810876547, 0.04509212269479542]","[0, 1, 2, 3]",1.0,0.0,0.0,0.04509212269479542,4.0,"[1.0, 1.0, 1.0000000000000002, 1.0]",
