u0,ce_cost,kh_dual_cost
0.16500000000000004,3.1630750000000005,3.5018379700892717
0.17999999999999972,3.221049999999999,3.5789610041714655
0.19499999999999984,3.280074999999999,3.6641578591785917
0.20999999999999996,3.3403,3.756991665113855
0.2250000000000001,3.4015750000000007,3.8573281011569795
0.23999999999999977,3.464049999999999,3.964803395760001
0.2549999999999999,3.5275749999999992,4.079351163395181
0.27,3.5923,4.200741935229505
0.2849999999999997,3.6580749999999984,4.328803646468941
0.2999999999999998,3.725049999999999,4.463501020388659
0.31499999999999995,3.793075,4.604800085754508
0.33000000000000007,3.8623000000000003,4.752613974193104
0.34499999999999975,3.9325749999999986,4.906857906398477
0.3599999999999999,4.004049999999999,5.067432250872018
0.375,4.076575,5.234243761030718
0.3899999999999997,4.150299999999999,5.407289883199261
0.4049999999999998,4.225074999999999,5.586490387104767
0.41999999999999993,4.30105,5.771747950682484
0.43500000000000005,4.378075,5.9631281402599345
0.44999999999999973,4.456299999999999,6.16060486882316
0.46499999999999986,4.535574999999999,6.364104712351568
0.48,4.6160499999999995,6.5735596605655005
0.49499999999999966,4.697574999999999,6.788987393986851
0.5099999999999998,4.780299999999999,7.010355539268329
0.5249999999999999,4.864075,7.237621624883277
0.54,4.94905,7.470799434998961
0.5549999999999997,5.035074999999999,7.7098600463374405
0.5699999999999998,5.122299999999999,7.954885187953185
0.585,5.2105749999999995,8.2057267224735
0.5999999999999996,5.300049999999997,8.462474197202257
0.6149999999999998,5.390574999999998,8.72511257642676
0.6299999999999999,5.4822999999999995,8.99355823813512
0.645,5.575075000000001,9.267827749748045
0.6599999999999997,5.669049999999999,9.547941144900127
0.6749999999999998,5.764074999999999,9.833930597841487
0.69,5.860299999999999,10.125653600507414
0.7050000000000001,5.957575,10.423216557249493
0.7199999999999998,6.056049999999998,10.72652806676729
0.7349999999999999,6.155574999999999,11.035664376668437
0.75,6.2563,11.350602456750629
0.7649999999999997,6.358074999999998,11.67133939866646
0.7799999999999998,6.461049999999998,11.997826107595834
0.7949999999999999,6.565074999999999,12.330139443199533
0.81,6.670300000000001,12.668156886512023
0.8249999999999997,6.776574999999999,13.012030117805496
0.8399999999999999,6.8840499999999984,13.361667638895605
0.855,6.9925749999999995,13.717089695000865
0.8699999999999997,7.102299999999998,14.078303582054987
0.8849999999999998,7.213074999999999,14.445192216809776
0.8999999999999999,7.325049999999999,14.817838145695461
0.915,7.438075,15.196236029135498
0.9299999999999997,7.552299999999998,15.580427397431482
0.9449999999999998,7.667574999999999,15.970383085822943
0.96,7.78405,16.36606357863906
0.9749999999999996,7.901574999999998,16.767514431061713
0.9899999999999998,8.020299999999999,17.17474087581465
1.005,8.140075,17.58771825219892
1.0199999999999996,8.261049999999997,18.006491699032782
1.0350000000000001,8.383075000000002,18.430996166242416
1.0499999999999998,8.5063,18.86129200871801
1.0649999999999995,8.630574999999997,19.297269222450076
1.08,8.756050000000002,19.739006957277336
1.0949999999999998,8.882575,20.18646622221401
1.1099999999999994,9.010299999999996,20.6397073466409
1.125,9.139075,21.098670537761155
1.1399999999999997,9.269049999999996,21.563357153145358
1.1550000000000002,9.400075000000001,22.03384013933762
1.17,9.5323,22.510046264214324
1.1849999999999996,9.665574999999997,22.992049498634117
1.2000000000000002,9.800050000000002,23.47977765176777
1.2149999999999999,9.935574999999998,23.973298220393517
1.2299999999999995,10.072299999999997,24.472543121929593
1.245,10.210075000000002,24.977482536366256
1.2599999999999998,10.349049999999998,25.48813947034979
1.2749999999999995,10.489074999999996,26.004519381753347
1.29,10.630300000000002,26.526636962482193
1.3049999999999997,10.772574999999996,27.054481208562756
1.3200000000000003,10.916050000000002,27.588075110960595
1.335,11.060575,28.127434240645503
1.3499999999999996,11.206299999999995,28.672534837898613
1.3650000000000002,11.353075000000004,29.22340544749133
1.38,11.50105,29.779992424847556
1.3949999999999996,11.650074999999996,30.34236153989032
1.4100000000000001,11.8003,30.91038452906328
1.4249999999999998,11.951574999999998,31.484147565378315
1.4399999999999995,12.104049999999996,32.06367247038128
1.455,12.257575000000001,32.64890602712037
1.4699999999999998,12.412299999999998,33.23990560217695
1.4849999999999994,12.568074999999995,33.83657617305971
1.5,12.72505,34.43908908532167
1.5149999999999997,12.883074999999996,35.047253365022044
1.5300000000000002,13.042300000000003,35.661262050615235
1.545,13.202575,36.280942940598486
1.5599999999999996,13.364049999999995,36.90643729123782
1.5750000000000002,13.526575000000001,37.53758665875676
1.5899999999999999,13.690299999999997,38.17447130722686
1.6049999999999995,13.855074999999996,38.81710715192699
1.62,14.021050000000002,39.46547657984056
1.6349999999999998,14.188074999999998,40.119618342849755
1.6499999999999995,14.356299999999994,40.77942942215987
1.665,14.525575,41.44502647517413
1.6799999999999997,14.696049999999996,42.11630246723194
1.6949999999999994,14.867574999999993,42.7933418796715
1.71,15.0403,43.476128646755065
1.7249999999999996,15.214074999999996,44.16466066686838
1.7400000000000002,15.389050000000003,44.858913234126305
1.755,15.565074999999998,45.558841901467986
1.7699999999999996,15.742299999999993,46.26453352931939
1.7850000000000001,15.920575000000001,46.975979257551
1.7999999999999998,16.100049999999996,47.693154024389656
1.8149999999999995,16.280574999999992,48.41609401776872
1.83,16.462300000000003,49.14470229873971
1.8449999999999998,16.645075,49.8791389143624
1.8599999999999994,16.829049999999995,50.619229685583164
1.875,17.014075,51.365156065388625
1.8899999999999997,17.2003,52.116729616840566
1.9050000000000002,17.387575000000002,52.874095117016076
1.92,17.57605,53.63709047684765
1.9349999999999996,17.765574999999995,54.4058846662493
1.9500000000000002,17.9563,55.1803987573032
1.9649999999999999,18.148075,55.960675279445546
1.9799999999999995,18.341049999999996,56.746699814986286
1.995,18.535075000000003,57.538427213884006
2.01,18.730299999999996,58.3358906210718
2.0249999999999995,18.926574999999993,59.13912005163516
2.04,19.12405,59.94807134834552
2.0549999999999997,19.322574999999997,60.7628127645107
2.0699999999999994,19.52229999999999,61.583209521435506
2.085,19.723075,62.409363687518635
2.0999999999999996,19.92504999999999,63.241147107091734
2.115,20.128075000000003,64.07872796764008
2.13,20.332299999999996,64.92200547164319
2.1449999999999996,20.537574999999997,65.77105658426765
2.16,20.74405,66.62584912167287
2.175,20.951575,67.48633276986023
2.1899999999999995,21.160299999999992,68.35259463677545
2.205,21.370075,69.22455834503768
2.2199999999999998,21.581049999999994,70.10231067435552
2.2349999999999994,21.793074999999995,70.98573745568498
2.25,22.006300000000003,71.87487993130748
2.2649999999999997,22.220574999999997,72.76976199367314
2.2799999999999994,22.43604999999999,73.67039044269143
2.295,22.652575,74.57678419042328
2.3099999999999996,22.870299999999993,75.48889250424132
2.325,23.089075,76.4067663764502
2.34,23.30905,77.33035324920331
2.3549999999999995,23.530074999999993,78.25965943060308
2.37,23.7523,79.19472546456707
2.385,23.975574999999996,80.13551308758677
2.3999999999999995,24.200049999999994,81.08205323169892
2.415,24.425575000000002,82.034226084031
2.4299999999999997,24.652299999999993,82.99221803769672
2.4449999999999994,24.88007499999999,83.95588100828385
2.46,25.109050000000003,84.92535795658382
2.4749999999999996,25.339074999999994,85.90053247696281
2.49,25.570300000000003,86.88149428806878
2.505,25.802574999999997,87.8681803393689
2.5199999999999996,26.036049999999992,88.86058145839698
2.535,26.270575,89.85867813996704
2.55,26.506299999999996,90.86251261349895
2.5649999999999995,26.743074999999994,91.87204600033228
2.58,26.981050000000003,92.88729896628789
2.5949999999999998,27.220074999999998,93.90826190024926
2.6099999999999994,27.46029999999999,94.93502952186786
2.625,27.701575000000002,95.96747368682071
2.6399999999999997,27.944049999999997,97.00575586356072
2.6549999999999994,28.187574999999992,98.04968124462717
2.67,28.432299999999998,99.09945206507763
2.6849999999999996,28.678074999999993,100.15488445572366
2.7,28.925050000000006,101.21610705398403
2.715,29.173074999999997,102.28300147998743
2.7299999999999995,29.422299999999993,103.35564069506219
2.745,29.672575000000002,104.43395164120405
2.76,29.924049999999998,105.51801731447502
2.7749999999999995,30.176574999999993,106.60780731241456
2.79,30.430300000000003,107.7033650230486
2.8049999999999997,30.685074999999994,108.8046388547762
2.8199999999999994,30.94104999999999,109.91170800486795
2.835,31.198075,111.02446559409339
2.8499999999999996,31.456299999999995,112.14304617467663
2.865,31.715575,113.26728744771125
2.88,31.97605,114.39732567247748
2.8949999999999996,32.23757499999999,115.53295898548711
2.91,32.5003,116.67437054739167
2.925,32.76407499999999,117.82151829486142
2.9399999999999995,33.02904999999999,118.97672727698573
2.955,33.295075,120.14012708275797
2.9699999999999998,33.56229999999999,121.31175878443561
2.9849999999999994,33.830574999999996,122.49161580766862
3.0,34.100049999999996,123.6800118068636
