environment,twin_gap,regime,seed,baseline,total_cost,task_cost,energy_cost,switch_cost,failure_cost,terminal_cost,failures,physical_transitions,observed_transitions,observation_interval,oracle_regret
cartpole,gap,piecewise,1,arcari_dual_smpc,0.8285875409607742,0.6535250458317844,0.019000000000000003,0.14,0.0,0.016062495128989888,0,30,30,1,-0.17660520170833915
cartpole,gap,piecewise,1,tv_gp_lcb,637.6292353268663,29.999982575640754,0.023000000000000007,0.48,600.0,7.126252751225472,6,30,30,1,636.6240425841971
cartpole,gap,piecewise,1,oracle_trend,1.0051927426691134,0.8181187194390288,0.024000000000000007,0.13,0.0,0.033074023230084744,0,30,30,1,0.0
cartpole,gap,drifting,0,kh_dual_control,0.9468918018500941,0.7744627167688556,0.018000000000000002,0.14,0.0,0.014429085081239114,0,30,30,1,-0.07977428018460408
cartpole,gap,drifting,0,arcari_dual_smpc,0.9468918018500941,0.7744627167688556,0.018000000000000002,0.14,0.0,0.014429085081239114,0,30,30,1,-0.07977428018460408
cartpole,gap,drifting,0,tv_gp_lcb,839.8378872293722,32.82298388773238,0.022000000000000006,0.46,800.0,6.532903341639815,8,30,30,1,838.8112211473375
cartpole,gap,drifting,0,oracle_trend,1.0266660820346982,0.8504983780548151,0.020000000000000004,0.14,0.0,0.01616770397988343,0,30,30,1,0.0
cartpole,gap,drifting,1,kh_dual_control,0.9194599254934309,0.732885204343249,0.020000000000000004,0.16000000000000003,0.0,0.006574721150181769,0,30,30,1,-0.13931474707810565
cartpole,gap,drifting,1,arcari_dual_smpc,0.9194599254934309,0.732885204343249,0.020000000000000004,0.16000000000000003,0.0,0.006574721150181769,0,30,30,1,-0.13931474707810565
cartpole,gap,drifting,1,tv_gp_lcb,838.9953721866581,32.115679030948115,0.022000000000000006,0.46,800.0,6.39769315570978,8,30,30,1,837.9365975140865
cartpole,gap,drifting,1,oracle_trend,1.0587746725715366,0.8778754915250265,0.022000000000000006,0.15000000000000002,0.0,0.008899181046510002,0,30,30,1,0.0
